1,8110.65383576
3,3684.95416348
5,3261.08046966
7,3186.20205789
9,3148.48518054
11,2976.62877832
13,2733.63172601
15,2338.49352677
17,2122.37570118
19,1960.70518497
21,1757.80104603
23,1503.64985767
25,1367.22482192
27,1217.60971893
29,1018.45747863
31,938.718409339
33,840.841328522
35,742.62221429
37,693.479882208
39,626.711395044
41,558.022385688
43,509.896567777
45,464.444650098
47,437.116199819
49,408.143353243
51,383.88284493
53,347.294132305
55,321.609131518
57,307.402707137
59,291.086566418
61,280.646515546
63,257.940735584
65,230.79857896
67,215.187567658
69,207.881290827
71,200.772685641
73,191.425835802
75,185.404119696
77,180.095432234
79,173.87616288
81,170.01143135
83,159.367707414
85,146.516343385
87,139.607423856
89,136.35962
91,133.145337328
93,130.167286957
95,128.217393843
97,125.861781527
99,123.0523356
101,116.911303106
103,106.635839393
105,97.5126094877
107,75.4290443071
109,67.816901525
111,64.8782610322
113,60.8117962267
115,57.0301222878
